cudacoresfactor, 2xcopytime, kerneltime0, kerneltimeN
315, 2923441.350000, 1650.480000, 1818.860000
316, 2932525.772000, 1653.012000, 1831.985000
317, 2942320.630000, 1670.840000, 1827.166000
318, 2953294.924000, 1662.826000, 1812.474000
319, 2977524.274000, 1658.213000, 1824.713000
320, 2971480.346000, 1664.201000, 1814.929000
321, 2980937.274000, 1674.739000, 1839.827000
322, 3004420.736000, 1691.891000, 1824.864000
323, 2999243.800000, 1656.372000, 1836.402000
324, 3005654.650000, 1653.565000, 1815.249000
325, 3012920.526000, 1652.382000, 1823.103000
326, 3022679.266000, 1688.772000, 1817.058000
327, 3035666.378000, 1660.653000, 1823.482000
328, 3060546.200000, 1663.733000, 1827.689000
329, 3054042.102000, 1643.084000, 1833.567000
330, 3065861.350000, 1641.604000, 1819.928000
331, 3089435.516000, 1660.149000, 1835.036000
332, 3080343.214000, 1666.977000, 1838.611000
333, 3089657.446000, 1654.282000, 1829.904000
334, 3117268.752000, 1682.422000, 1843.138000
335, 3112526.370000, 1674.990000, 1827.976000
336, 3122129.062000, 1677.793000, 1839.331000
337, 3144410.854000, 1689.586000, 1837.051000
338, 3139366.436000, 1690.468000, 1840.665000
339, 3144886.016000, 1698.159000, 1841.096000
340, 3172006.006000, 1714.893000, 1843.185000
341, 3166986.690000, 1677.129000, 1843.915000
342, 3181463.946000, 1683.332000, 1851.716000
343, 3199105.696000, 1696.661000, 1843.438000
344, 3193835.032000, 1666.445000, 1841.150000
345, 3201037.162000, 1667.730000, 1841.430000
346, 3227535.078000, 1669.279000, 1838.120000
347, 3230509.390000, 1659.361000, 1842.915000
348, 3235780.258000, 1665.278000, 1838.775000
349, 3260313.570000, 1679.359000, 1839.687000
350, 3250265.366000, 1684.856000, 1850.620000
351, 3264702.278000, 1669.887000, 1857.248000
352, 3290275.254000, 1690.475000, 1841.703000
353, 3285928.692000, 1663.888000, 1840.497000
354, 3295490.490000, 1670.464000, 1868.554000
355, 3304101.454000, 1688.735000, 1855.533000
356, 3315838.594000, 1695.979000, 1853.421000
357, 3323864.590000, 1675.196000, 1838.932000
358, 3349796.830000, 1679.558000, 1854.103000
359, 3341745.400000, 1671.568000, 1860.382000
360, 3357366.106000, 1678.558000, 1844.011000
361, 3396524.596000, 1669.527000, 1849.501000
362, 3377262.776000, 1670.199000, 1864.945000
363, 3387966.160000, 1673.877000, 1915.180000
364, 3397816.684000, 1672.768000, 1845.408000
365, 3404433.536000, 1674.213000, 1856.115000
366, 3434520.672000, 1684.827000, 1855.195000
367, 3426869.786000, 1680.010000, 1850.884000
368, 3438009.836000, 1673.315000, 1837.793000
369, 3460939.500000, 1677.780000, 1857.743000
370, 3470079.332000, 1680.536000, 1861.706000
371, 3482297.706000, 1675.546000, 1859.835000
372, 3480995.074000, 1685.725000, 1837.811000
373, 3500283.070000, 1702.845000, 1954.181000
374, 3530985.586000, 1736.359000, 1913.011000
375, 3518235.080000, 1698.345000, 1899.525000
376, 3527006.362000, 1674.514000, 1934.432000
377, 3525237.340000, 1665.573000, 1864.300000
378, 3548643.282000, 1679.765000, 1878.692000
379, 3574627.718000, 1667.744000, 1852.230000
380, 3559214.688000, 1678.988000, 1851.167000
381, 3573059.274000, 1689.422000, 1868.493000
382, 3600910.200000, 1671.214000, 1865.992000
383, 3594908.932000, 1674.648000, 1863.698000
384, 3623580.216000, 1689.914000, 1866.975000
385, 3616055.580000, 1696.086000, 1850.448000
386, 3625382.462000, 1691.435000, 1844.228000
387, 3657123.086000, 1673.676000, 1858.560000
388, 3663853.758000, 1692.549000, 1857.739000
389, 3653362.104000, 1662.815000, 1878.970000
390, 3671369.928000, 1689.437000, 1851.301000
391, 3690748.240000, 1711.032000, 1876.117000
392, 3693613.716000, 1702.408000, 1870.041000
393, 3695888.780000, 1674.642000, 1846.503000
394, 3703492.570000, 1672.817000, 1862.161000
395, 3730667.518000, 1695.573000, 1861.648000
396, 3723575.426000, 1661.995000, 1849.504000
397, 3734902.512000, 1667.142000, 1874.245000
398, 3743619.454000, 1678.980000, 1865.222000
399, 3750868.834000, 1680.701000, 1845.611000
400, 3756478.530000, 1687.864000, 1864.469000
401, 3771898.578000, 1672.542000, 1853.035000
402, 3784513.452000, 1680.764000, 1870.390000
403, 3812927.648000, 1676.662000, 1859.220000
404, 3805992.998000, 1664.754000, 1870.332000
405, 3809605.972000, 1684.910000, 1870.498000
406, 3826566.410000, 1652.688000, 1872.223000
407, 3837712.546000, 1659.331000, 1860.272000
408, 3863955.444000, 1667.371000, 1867.245000
409, 3856959.898000, 1654.267000, 1872.434000
410, 3888086.246000, 1701.446000, 1872.652000
411, 3882620.188000, 1664.359000, 1876.381000
412, 3894574.332000, 1674.279000, 1888.621000
413, 3903803.128000, 1716.908000, 1869.193000
414, 3914346.042000, 1674.469000, 1878.078000
415, 3940079.234000, 1689.556000, 1889.404000
416, 3935472.148000, 1685.308000, 1890.243000
417, 3963336.066000, 1678.955000, 1877.294000
418, 3956657.406000, 1673.543000, 1880.205000
419, 3967154.070000, 1657.915000, 1884.687000
420, 3995608.638000, 1668.219000, 1880.530000
421, 3990352.358000, 1676.120000, 1872.142000
422, 4028551.474000, 1694.227000, 1877.520000
423, 4015432.890000, 1688.954000, 1875.524000
424, 4028497.306000, 1686.360000, 1864.500000
425, 4058142.702000, 1684.282000, 1887.981000
426, 4054080.128000, 1681.622000, 1865.781000
427, 4097850.752000, 1713.081000, 1951.973000
428, 4075576.164000, 1712.334000, 1897.676000
429, 4102242.602000, 1709.753000, 1921.578000
430, 4098837.172000, 1690.627000, 1883.663000
431, 4104945.408000, 1718.762000, 1918.833000
432, 4116413.866000, 1714.817000, 1891.538000
433, 4120508.026000, 1672.879000, 1854.196000
434, 4149184.630000, 1666.575000, 1846.560000
435, 4142927.562000, 1690.778000, 1848.813000
436, 4151095.508000, 1682.931000, 1882.309000
437, 4162680.112000, 1664.660000, 1850.326000
438, 4172025.148000, 1688.929000, 1874.338000
439, 4201658.056000, 1676.514000, 1863.137000
440, 4198023.256000, 1674.632000, 1886.317000
441, 4222227.174000, 1676.905000, 1869.721000
442, 4221497.418000, 1694.777000, 1873.549000
443, 4230722.080000, 1674.253000, 1864.157000
444, 4254100.190000, 1694.418000, 1880.947000
445, 4249943.642000, 1666.893000, 1857.910000
446, 4263638.476000, 1711.944000, 1865.838000
447, 4272041.288000, 1671.850000, 1857.056000
448, 4293073.518000, 1670.235000, 1870.361000
449, 4290467.942000, 1684.944000, 1863.505000
450, 4318438.948000, 1689.692000, 1881.898000
451, 4310987.364000, 1674.884000, 1871.049000
452, 4342147.212000, 1714.646000, 1919.024000
453, 4335366.076000, 1732.694000, 1934.812000
454, 4347307.488000, 1695.859000, 1937.002000
455, 4356245.368000, 1711.590000, 1912.584000
456, 4367227.046000, 1710.421000, 1939.234000
457, 4384133.386000, 1676.881000, 1910.394000
458, 4424284.594000, 1695.120000, 1933.849000
459, 4408028.838000, 1686.869000, 1921.249000
460, 4423816.616000, 1725.485000, 1909.413000
461, 4445077.202000, 1706.702000, 1911.809000
462, 4440753.550000, 1704.227000, 1923.235000
463, 4464954.724000, 1700.622000, 1919.435000
464, 4456026.528000, 1673.708000, 1849.828000
465, 4460826.036000, 1681.980000, 1858.132000
466, 4489471.242000, 1664.936000, 1861.232000
467, 4481007.566000, 1693.675000, 1870.912000
468, 4491743.648000, 1695.460000, 1880.776000
469, 4501656.686000, 1677.052000, 1854.694000
470, 4511094.308000, 1689.449000, 1869.386000
471, 4535066.846000, 1672.710000, 1877.097000
472, 4533886.482000, 1683.357000, 1875.818000
473, 4544556.038000, 1671.703000, 1878.891000
474, 4551751.212000, 1687.507000, 1894.551000
475, 4570931.738000, 1678.435000, 1866.552000
476, 4581888.026000, 1684.014000, 1872.641000
477, 4604072.060000, 1725.535000, 1877.485000
478, 4603951.146000, 1691.091000, 1882.415000
479, 4632646.668000, 1681.761000, 1903.436000
480, 4621353.610000, 1675.472000, 1911.909000
481, 4631092.782000, 1680.611000, 1899.919000
482, 4643820.830000, 1688.424000, 1907.648000
483, 4653293.834000, 1665.691000, 1906.539000
484, 4663620.586000, 1684.153000, 1890.490000
485, 4691925.668000, 1670.177000, 1879.070000
486, 4683830.274000, 1681.253000, 1896.041000
487, 4693823.718000, 1670.733000, 1878.839000
488, 4705685.296000, 1687.567000, 1885.112000
489, 4721420.836000, 1678.451000, 1871.835000
490, 4741575.406000, 1698.177000, 1886.749000
491, 4735626.120000, 1689.030000, 1884.916000
492, 4747502.814000, 1686.091000, 1890.904000
493, 4774095.920000, 1678.746000, 1891.813000
494, 4775122.678000, 1694.983000, 1908.192000
495, 4787016.388000, 1670.511000, 1884.483000
496, 4805948.948000, 1668.048000, 1887.336000
497, 4818824.006000, 1673.830000, 1879.249000
498, 4815379.252000, 1669.528000, 1898.292000
499, 4840975.892000, 1679.943000, 1901.590000
500, 4842960.926000, 1699.058000, 1895.341000
501, 4851568.692000, 1696.772000, 1926.790000
502, 4859808.312000, 1677.048000, 1902.809000
503, 4891146.874000, 1691.798000, 1896.435000
504, 4888371.182000, 1705.147000, 1890.279000
505, 4905464.048000, 1671.623000, 1889.125000
506, 4902129.002000, 1704.217000, 1899.234000
507, 4929068.728000, 1709.740000, 1896.453000
508, 4925669.504000, 1714.017000, 1896.564000
509, 4945222.574000, 1763.352000, 1902.639000
510, 4949272.322000, 1703.532000, 1890.810000
511, 4955570.600000, 1684.893000, 1914.341000
512, 4970339.932000, 1698.799000, 1896.852000
513, 5003835.872000, 1708.078000, 1923.565000
514, 4998138.140000, 1719.463000, 1908.922000
515, 5022809.128000, 1700.987000, 1910.605000
516, 5018402.694000, 1681.229000, 1884.756000
517, 5045223.486000, 1685.335000, 1903.182000
518, 5041469.816000, 1674.290000, 1891.582000
519, 5073569.134000, 1725.274000, 1894.028000
520, 5067112.426000, 1666.263000, 1890.481000
521, 5092349.052000, 1689.492000, 1904.381000
522, 5090075.916000, 1684.859000, 1896.773000
523, 5100203.098000, 1686.343000, 1890.137000
524, 5125741.106000, 1685.912000, 1891.369000
525, 5127561.220000, 1708.960000, 1910.353000
526, 5143918.154000, 1685.033000, 1908.303000
527, 5138923.516000, 1697.654000, 1897.854000
528, 5165938.752000, 1703.207000, 1914.517000
529, 5165208.738000, 1708.746000, 1920.525000
530, 5181748.364000, 1683.187000, 1900.530000
531, 5202580.032000, 1715.866000, 1900.651000
532, 5229138.774000, 1701.466000, 1895.870000
533, 5236573.942000, 1767.052000, 1887.609000
534, 5227726.920000, 1682.020000, 1912.789000
535, 5238907.416000, 1671.699000, 1921.046000
536, 5249741.878000, 1697.311000, 1901.725000
537, 5271938.620000, 1687.039000, 1896.569000
538, 5268848.644000, 1689.433000, 1900.821000
539, 5301543.532000, 1680.307000, 1903.735000
540, 5292250.660000, 1680.122000, 1896.885000
541, 5316934.412000, 1680.418000, 1903.935000
542, 5310730.930000, 1664.762000, 1892.595000
543, 5336629.728000, 1706.172000, 1895.983000
544, 5325501.598000, 1703.972000, 1900.163000
545, 5335205.184000, 1707.855000, 1914.193000
546, 5344653.040000, 1675.900000, 1906.057000
547, 5370071.824000, 1696.760000, 1895.736000
548, 5376786.504000, 1693.355000, 1910.655000
549, 5391102.964000, 1698.672000, 1910.067000
550, 5398698.154000, 1712.306000, 1920.843000
551, 5409081.150000, 1695.470000, 1917.936000
552, 5418456.138000, 1677.020000, 1920.073000
553, 5429958.176000, 1696.928000, 1921.555000
554, 5438276.316000, 1690.474000, 1901.417000
555, 5446745.790000, 1716.068000, 1905.880000
556, 5469311.054000, 1696.981000, 1908.535000
557, 5472502.340000, 1693.793000, 1908.737000
558, 5494661.854000, 1680.567000, 1908.571000
559, 5492024.358000, 1694.122000, 1917.830000
560, 5514380.658000, 1683.385000, 1930.607000
561, 5513453.152000, 1697.185000, 1923.814000
562, 5536202.634000, 1690.236000, 1912.887000
563, 5543337.958000, 1704.948000, 1941.904000
564, 5541511.400000, 1719.225000, 1924.444000
565, 5565969.522000, 1698.156000, 1920.223000
566, 5567044.938000, 1693.167000, 1909.030000
567, 5597494.034000, 1681.327000, 1922.518000
568, 5609105.898000, 1690.250000, 1899.866000
569, 5604224.142000, 1691.164000, 1908.408000
570, 5629877.890000, 1685.104000, 1904.184000
571, 5625126.698000, 1703.761000, 1910.219000
572, 5642666.136000, 1687.002000, 1905.852000
573, 5648601.806000, 1695.490000, 1914.900000
574, 5644950.128000, 1698.151000, 1895.956000
575, 5663544.622000, 1697.043000, 1905.119000
576, 5661465.678000, 1705.943000, 1910.223000
577, 5672140.900000, 1697.793000, 1910.504000
578, 5690671.312000, 1717.701000, 1927.980000
579, 5690937.038000, 1680.450000, 1926.020000
580, 5709451.416000, 1696.374000, 1919.532000
581, 5706342.666000, 1687.899000, 1913.494000
582, 5716974.692000, 1710.651000, 1915.220000
583, 5724783.714000, 1677.667000, 1919.578000
584, 5740816.788000, 1689.232000, 1916.469000
585, 5776270.694000, 1698.750000, 1912.848000
586, 5784781.710000, 1708.931000, 1912.772000
587, 5785519.892000, 1677.512000, 1904.817000
588, 5806172.814000, 1699.183000, 1912.830000
589, 5804498.250000, 1699.256000, 1957.086000
590, 5826239.886000, 1730.402000, 1961.009000
591, 5851199.308000, 1699.420000, 1932.164000
592, 5835296.650000, 1685.495000, 1947.630000
593, 5862882.112000, 1731.587000, 1934.018000
594, 5852287.748000, 1723.464000, 1940.874000
595, 5863074.808000, 1744.225000, 1945.093000
596, 5893128.212000, 1722.781000, 1947.897000
597, 5887201.810000, 1726.888000, 1945.408000
598, 5911928.036000, 1718.410000, 1958.327000
599, 5919230.902000, 1711.374000, 1938.530000
600, 5911591.002000, 1705.498000, 1961.117000
601, 5933744.978000, 1742.271000, 1942.857000
602, 5932107.198000, 1701.851000, 1944.930000
603, 5967810.486000, 1723.061000, 1946.706000
604, 5971747.890000, 1701.875000, 1954.306000
605, 5993887.370000, 1743.095000, 1957.078000
606, 5982157.320000, 1701.456000, 1951.571000
607, 5992802.884000, 1709.928000, 1954.415000
608, 6016637.084000, 1706.763000, 1936.504000
609, 6010779.728000, 1714.598000, 1964.593000
610, 6022658.828000, 1708.563000, 1933.161000
611, 6044869.328000, 1716.353000, 1949.301000
612, 6038247.202000, 1724.870000, 1941.324000
613, 6059215.792000, 1727.263000, 1943.917000
614, 6053869.242000, 1707.862000, 1931.229000
615, 6081540.340000, 1699.318000, 1942.242000
616, 6091645.186000, 1694.742000, 1941.306000
617, 6086117.446000, 1705.338000, 1911.832000
618, 6089374.814000, 1690.763000, 1965.413000
619, 6097274.608000, 1696.188000, 1928.930000
620, 6127404.334000, 1697.236000, 1942.623000
621, 6142699.756000, 1733.436000, 1935.482000
622, 6147128.562000, 1719.833000, 1959.438000
623, 6150037.784000, 1713.730000, 1919.769000
624, 6157581.652000, 1681.867000, 1951.432000
625, 6175246.522000, 1696.205000, 1926.228000
626, 6195080.514000, 1695.328000, 1931.504000
